comparison,label,code,group_a,group_b,n_a,n_b,cos_mean,cos_std,euc_mean,euc_std,icc,therapist,n
between_therapists,patient_imp,BCS,T1,T2,25.0,2.0,0.6393,0.0961,0.833,0.1156,0.4652,,
between_therapists,patient_imp,BCS,T1,T4,25.0,4.0,0.5518,0.0984,0.9285,0.1171,-0.2418,,
between_therapists,patient_imp,BCS,T2,T4,2.0,4.0,0.543,0.0727,0.953,0.0765,0.1209,,
between_therapists,patient_imp,ECE,T1,T2,4.0,1.0,0.6365,0.0412,0.8514,0.0477,,,
between_therapists,patient_imp,ERT,T1,T2,2.0,1.0,0.6494,0.1042,0.8279,0.1259,,,
between_therapists,patient_imp,ERT,T1,T5,2.0,2.0,0.5302,0.0338,0.9687,0.0347,-0.669,,
between_therapists,patient_imp,ERT,T2,T5,1.0,2.0,0.5768,0.028,0.9195,0.0305,,,
between_therapists,patient_imp,FSU,T1,T2,13.0,6.0,0.6238,0.0822,0.8575,0.1004,0.5919,,
between_therapists,patient_imp,FSU,T1,T3,13.0,3.0,0.6334,0.096,0.8442,0.1138,-0.2849,,
between_therapists,patient_imp,FSU,T1,T5,13.0,4.0,0.492,0.0721,0.9991,0.0878,-0.4915,,
between_therapists,patient_imp,FSU,T2,T3,6.0,3.0,0.6338,0.0512,0.8536,0.0613,-0.5675,,
between_therapists,patient_imp,FSU,T2,T5,6.0,4.0,0.5022,0.049,0.9966,0.0495,-0.3444,,
between_therapists,patient_imp,FSU,T3,T5,3.0,4.0,0.4734,0.0323,1.0257,0.0314,-0.6047,,
between_therapists,patient_imp,FTA,T1,T5,8.0,3.0,0.4434,0.0706,1.0529,0.069,-0.5997,,
between_therapists,patient_imp,HPM,T1,T4,9.0,3.0,0.5367,0.0978,0.9484,0.111,-0.6886,,
between_therapists,patient_imp,HPM,T1,T5,9.0,1.0,0.5512,0.0826,0.9373,0.1038,,,
between_therapists,patient_imp,HPM,T4,T5,3.0,1.0,0.4483,0.0235,1.0502,0.0224,,,
between_therapists,patient_imp,IAI,T1,T4,26.0,1.0,0.4609,0.0598,1.03,0.0778,,,
between_therapists,patient_imp,IAI,T1,T5,26.0,6.0,0.5179,0.0699,0.9735,0.0856,-0.2941,,
between_therapists,patient_imp,IAI,T4,T5,1.0,6.0,0.4051,0.0287,1.0905,0.0264,,,
between_therapists,patient_imp,IDR,T1,T2,2.0,3.0,0.6641,0.0534,0.7895,0.0921,0.401,,
between_therapists,patient_imp,IDR,T1,T4,2.0,1.0,0.6412,0.0625,0.8142,0.1037,,,
between_therapists,patient_imp,IDR,T2,T4,3.0,1.0,0.6677,0.0064,0.8152,0.0079,,,
between_therapists,patient_imp,STK,T1,T2,18.0,9.0,0.4332,0.0759,1.0623,0.0722,-0.2043,,
between_therapists,patient_imp,STK,T1,T3,18.0,3.0,0.4804,0.0952,1.0147,0.0971,0.8524,,
between_therapists,patient_imp,STK,T1,T4,18.0,4.0,0.4687,0.0721,1.0284,0.0715,0.5031,,
between_therapists,patient_imp,STK,T1,T5,18.0,1.0,0.42,0.0705,1.075,0.0662,,,
between_therapists,patient_imp,STK,T2,T3,9.0,3.0,0.4485,0.0526,1.049,0.0506,-0.4928,,
between_therapists,patient_imp,STK,T2,T4,9.0,4.0,0.4118,0.0513,1.0836,0.0474,-0.5475,,
between_therapists,patient_imp,STK,T2,T5,9.0,1.0,0.3489,0.0392,1.1406,0.0347,,,
between_therapists,patient_imp,STK,T3,T4,3.0,4.0,0.5202,0.061,0.9776,0.0624,0.4977,,
between_therapists,patient_imp,STK,T3,T5,3.0,1.0,0.4425,0.0159,1.0558,0.0152,,,
between_therapists,patient_imp,STK,T4,T5,4.0,1.0,0.4356,0.0496,1.0614,0.0468,,,
between_therapists,patient_imp,VLD,T1,T2,27.0,2.0,0.5729,0.0726,0.9158,0.0861,-1.0082,,
between_therapists,patient_imp,VLD,T1,T3,27.0,2.0,0.5549,0.0712,0.9352,0.085,-1.026,,
between_therapists,patient_imp,VLD,T1,T4,27.0,3.0,0.56,0.0749,0.9292,0.0875,-0.1062,,
between_therapists,patient_imp,VLD,T2,T3,2.0,2.0,0.5271,0.0344,0.9719,0.0355,-0.9674,,
between_therapists,patient_imp,VLD,T2,T4,2.0,3.0,0.5862,0.0645,0.907,0.0705,-0.4242,,
between_therapists,patient_imp,VLD,T3,T4,2.0,3.0,0.5312,0.039,0.9674,0.0413,-1.0688,,
between_therapists,therapist_imp,BCS,T1,T2,50.0,21.0,0.59,0.086,0.8961,0.1033,-0.0476,,
between_therapists,therapist_imp,BCS,T1,T3,50.0,2.0,0.6541,0.0551,0.8279,0.0667,-0.6966,,
between_therapists,therapist_imp,BCS,T1,T4,50.0,6.0,0.6238,0.0756,0.8616,0.0887,-0.0275,,
between_therapists,therapist_imp,BCS,T1,T5,50.0,5.0,0.6629,0.0612,0.8166,0.0761,-0.2372,,
between_therapists,therapist_imp,BCS,T2,T3,21.0,2.0,0.5968,0.0757,0.8908,0.0886,-0.896,,
between_therapists,therapist_imp,BCS,T2,T4,21.0,6.0,0.5824,0.0884,0.9053,0.1021,0.061,,
between_therapists,therapist_imp,BCS,T2,T5,21.0,5.0,0.6001,0.0732,0.8878,0.086,-0.4202,,
between_therapists,therapist_imp,BCS,T3,T4,2.0,6.0,0.6107,0.0699,0.879,0.0777,0.0196,,
between_therapists,therapist_imp,BCS,T3,T5,2.0,5.0,0.6475,0.0296,0.8389,0.035,-0.9242,,
between_therapists,therapist_imp,BCS,T4,T5,6.0,5.0,0.6422,0.0542,0.8436,0.0631,-0.3992,,
between_therapists,therapist_imp,ECE,T1,T2,27.0,10.0,0.6447,0.0835,0.8314,0.1035,-0.0878,,
between_therapists,therapist_imp,ECE,T1,T5,27.0,1.0,0.6802,0.0661,0.7954,0.0829,,,
